"address","categories/0","categories/1","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Meal type","reviewContext/Noise level","reviewContext/Parking space","reviewContext/Price per person","reviewContext/Recommendation for vegetarians","reviewContext/Service","reviewContext/Wait time","reviewDetailedRating/Atmosphere","reviewDetailedRating/Food","reviewDetailedRating/Service","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewImageUrls/9","reviewImageUrls/10","reviewImageUrls/11","reviewImageUrls/12","reviewImageUrls/13","reviewImageUrls/14","reviewImageUrls/15","reviewImageUrls/16","reviewImageUrls/17","reviewImageUrls/18","reviewImageUrls/19","reviewImageUrls/20","reviewImageUrls/21","reviewImageUrls/22","reviewImageUrls/23","reviewImageUrls/24","reviewImageUrls/25","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","false","en","0","51.434016","-0.1284869","Est Den",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","an hour ago","2025-04-30T15:15:39.595Z",,,,,,,"£60–70",,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTUNZc0lYYjFBRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNZc0lYYjFBRRAB!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMCYsIXb1AE%7CCgwIm_3IwAYQ4NjvmwI%7C?hl=en","110774379123145556255","1","https://lh3.googleusercontent.com/a-/ALV-UjUu6GXFlvvRc1R1oA6TvGKuipCQ8AnJWS1kwv12-eMZzPaX2Ah4=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110774379123145556255?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","Wonderful beef from Portugal, the flavour was so natural and as it should be! Our waitress, Sandra was professional, efficient and welcoming. Great experience for us X",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","true","en","0","51.434016","-0.1284869","Lorena Sanchez",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","4 hours ago","2025-04-30T12:38:18.449Z",,,,,"Quiet, easy to talk",,,,,"No wait","5","5","5","ChdDSUhNMG9nS0VJQ0FnSUNDb2NtbGp3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDb2NtbGp3RRAB!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgICCocmljwE%7CCgwIurPIwAYQsPe_1gE%7C?hl=en","109295411081473083820","23","https://lh3.googleusercontent.com/a-/ALV-UjUoEskyjujrXG1ooJ_E2MSPUSREbu00326bIpTUnKJXOflZWWfK=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/109295411081473083820?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","Amazing!!! People and the best food in London",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","false","en","0","51.434016","-0.1284869","christianne carregueira",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","20 hours ago","2025-04-29T20:52:48.709Z",,"2024-06-04T21:27:10.000Z","Thank you so much Christianne for your lovely review.",,,,"£10–20",,,,"5","5","5","ChZDSUhNMG9nS0VJQ0FnSUN6NDdiVUZBEAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90ChxHryiVxSpjxCsvhtf-hKH3UqT--w3btBWPjE8aywyvAGQ0CJ4EoB2eoUcNY9rSD_mdnu2avV2VwtR3hEqJ2hjqs3s4aBvnh3PhRQA7VIWaucMkBRUWDnRjXOVBPqcVhLTHQ","https://lh3.googleusercontent.com/geougc-cs/AB3l90CyM6Jl8LTUPkIxTqOdQ_vpeuqdf1p3uOq6QiJ528AGtv0DU0X_x0CMmgt2V-Q2uRXskUSziytTZemBnEyxgPKWxYogFai1K1zXEEP3jP23N95-vZeilWnfG9U6fvWHB3n0eO-ytA",,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN6NDdiVUZBEAE!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgICz47bUFA%7CCgwIoPjEwAYQ0LiO0gI%7C?hl=en","107324598655896192398","0","https://lh3.googleusercontent.com/a-/ALV-UjWMDtex-7oDl2brKHmaCACoczHxN6nYgoPOaTUb8b3kIh1eMTrURA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107324598655896192398?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","The best Portuguese restaurant in the area! Lovely service and delicious food! Always come here when I miss home",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","false","en","0","51.434016","-0.1284869","Katielly Miranda",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","20 hours ago","2025-04-29T20:52:47.807Z",,"2024-06-04T21:24:24.000Z","Thank you so much Katielly fir you lovely review. We much appreciate it 🙏 ","Dinner",,,"£50–60",,"Dine in",,"5","5","5","ChdDSUhNMG9nS0VJQ0FnSUN6NDlhZjF3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN6NDlhZjF3RRAB!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgICz49af1wE%7CCgwIn_jEwAYQkKHxgAM%7C?hl=en","105731529512629316479","0","https://lh3.googleusercontent.com/a/ACg8ocJGeuN47iuNyY_Ej-AOjJ-kOnATRxN-HnWLbJfL15m6BbraRQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105731529512629316479?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","The food was very good, one of the best restaurants I've eaten at in London, and the woman who served us was super attentive and served us very well.",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","false","en","0","51.434016","-0.1284869","Marcio Goncalves Barbosa",,,"false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","a week ago","2025-04-21T16:20:02.933Z",,,,,,,,,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTURvcUxlQml3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvcUxlQml3RRAB!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMDoqLeBiwE%7CCgwIsuCZwAYQ-JSUvQM%7C?hl=en","107917557239287560743","10","https://lh3.googleusercontent.com/a/ACg8ocJhlDXaDbGIrWxawWaXItDbB-GoMP8SYt2umSpnUG64-0vg0w=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107917557239287560743?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false",,,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","true","en","0","51.434016","-0.1284869","sister lisa zhitong li",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","a week ago","2025-04-16T17:16:49.871Z",,,,,,,,,,,"5","5","5","ChZDSUhNMG9nS0VJQ0FnTUNveHJLLVV3EAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90DY5S4GpCgSKP3sG-2UesLIh_XfFhgB3hk2Xy5a2kC7tyWmyATrb0SFQDR6XysM0is_FlWAznb2SnsvWc3DV28k2RWiJ8fM4cDSMYIAR8VsCIG66yHNi7PTacYcicDXaT0J_yMF",,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNveHJLLVV3EAE!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMCoxrK-Uw%7CCgwIgcz_vwYQsLDDnwM%7C?hl=en","109578543837703117902","16","https://lh3.googleusercontent.com/a-/ALV-UjXD5ZTX86CkkXCvITYoyBDW98GwDC86Hp7hYJvQNhpA1hMJ0yg=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/109578543837703117902?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","Very nice, the service is very good too",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","false","en","0","51.434016","-0.1284869","Ben",,,"false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","a week ago","2025-04-16T17:16:08.283Z",,,,,,,,,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTUNveHBMV3FRRRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNveHBMV3FRRRAB!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMCoxpLWqQE%7CCgwI2Mv_vwYQ0MajhwE%7C?hl=en","103188962508074860589","1","https://lh3.googleusercontent.com/a-/ALV-UjWdUZeBTn8X3a11HV4b-g-IxRULDam1kQZn7-xMHSeLY74YBKs=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103188962508074860589?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false",,,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","true","en","0","51.434016","-0.1284869","Allison Brown",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","2 weeks ago","2025-04-12T12:53:43.255Z",,"2025-04-13T07:31:20.000Z","Dear Allison,
We're deeply saddened to hear about your disappointment. We appreciate your feedback and are committed to making improvements. Your comments will be taken seriously as we strive to regain your trust and restore the quality you once loved.

We hope you'll give us another chance to provide you with the excellent service and quality food that we are known for.
Best Regards
La Casita
Sandra.
","Dinner",,,"£30–40",,"Dine in",,"3","2","4","ChZDSUhNMG9nS0VJQ0FnTURJX2Y2RmVBEAE","https://lh3.googleusercontent.com/geougc-cs/AB3l90Alkq6NfxkSZr4yx5C_ctwM0diW0dPRHHz8mAEAeThD5RSNQjNlgqgoYKo_2yCAK3-0wJlAtuW7FkqUk22imCFFGNk-zq7OTG38OIxgIqs_9G5u96BvpfimvSwsm3I3gIf7xBCIHg","https://lh3.googleusercontent.com/geougc-cs/AB3l90DVbSYcRIzgeUa5PH3FwBFgWoAOnHsj--qaQ3VofsI9aV5j-BtT1LpyUWuGed_s-Zvohb11ltvDyFvLhtETdRcutdDqjGVDKmiFAmrk_Lo7ReuI4uqNtkvGuTizLcWNk7AZgRMM","https://lh3.googleusercontent.com/geougc-cs/AB3l90BPZXoS5ECqOt6S3XXkHQxAY2uQtnHAqb4KK0mboxeQNgcxgold0UIShUbmBcazqQCUJGSnk5JimRT2pSlEs-d8h1FbB-D3va9LYI2_LGEjmRaDxPAK7LGI8hqf6F_vgcBBdDTR6g","https://lh3.googleusercontent.com/geougc-cs/AB3l90A9brb_lXMTloIcTv8RFaubwUliFR0ectXybn58KoylP-3U1dtZgVmq_o-DfO8F66kI1a9bdP-Am75cjSr58d5HtPHHA6VPAm5Hy_orHWVyP-_5xiGAyB2c04Pjiu-5COiLl3A","https://lh3.googleusercontent.com/geougc-cs/AB3l90Dad9GUZlfs5x14f-YD7AUVyERvHcr0-v2Fpg27nD49bZ1qNhD4H2PYvUsm2FFSM19GzIu4FCxWJmjUYX8wfMgqM5IbD1NzVGGGHBojjgiYHqGbfZn67XcmSims1DUGSw9uMNq-Rw","https://lh3.googleusercontent.com/geougc-cs/AB3l90BQq2YZw47tYSRjTcjK6LkyihJXaI_PeHebPHxH-ivKAN094BV2IcA1DEDpWve-MrS908xUX0yslP9Jfgd87Lf14OqMHhdHcCFaDBPvCPDyX8PIeJbkqMf5u36OJ_FSePbEr28",,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURJX2Y2RmVBEAE!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMDI_f6FeA%7CCgsI18TpvwYQkOHZeQ%7C?hl=en","117853574632300410937","17","https://lh3.googleusercontent.com/a-/ALV-UjXdO2cMmva7lz8UhDbiRQmTJ2ct5td49On_21NbmorrmcdF2Dvv=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/117853574632300410937?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","3",,"122 Streatham High Rd","false","I have been visiting La Casita for a number of years & have never been disappointed ; tonight (11/04) was the exception. The starters of cheese fries & chilli jam, calamari & garlic prawns were a mixed level of tastiness - the best were the prawns (lots of garlic butter which was great), the worst were the calamari (these were inedible & returned). The waiter did apologise & removed this item from the bill. We did order some pão caseiro bread (traditional Portuguese bread) after the starters were served - this was definitely NOT pão caseiro - very disappointing. The mains consisted of mixed fish skewer (espetada), baked salted cod (bacalhau ) & sirloin steak - all 3 were below par. The steak was NOT sirloin, it was a largish flat piece of beef with a fair amount of “flobby” fat smothered with peppercorn sauce. Half of the steak was edible & the fries & side salad were good. The bacalhau was overcooked, way too firm not soft & silky & dry to taste ; the accompanying vegetables were good. The worse was the espetada ; the tuna was hard & grey in colour, the calamari was the same as the starter, difficult to cut & “rubbery”, the prawns were near on impossible to peel as they were stuck to the shell, the salmon was hard & dry. Along with the vegetables, the whole skewer was burnt / extremely charred. Around 75% of the food was left on our plates. The waiter did ask if everything was ok when clearing our table, we did respond giving an overall opinion that everything was overcooked. Not too much conversation between us, he acknowledged & left. The bill didn’t reflect any other discount apart from the calamari starter.
Maybe an “off” night for the Chef but @ our detriment & £££ ; not good. No one goes out to have a bad / unsatisfactory meal but this was probably one of the worst meals we’ve had in a long time. NB the photo’s can & are deceiving - the food looks good but tasted the complete opposite.",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","true","en","0","51.434016","-0.1284869","Paul Casey",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","2 weeks ago","2025-04-11T19:04:36.540Z",,,,"Lunch",,,"£10–20",,"Dine in",,"4","5","5","ChZDSUhNMG9nS0VJQ0FnTURJNVkyME9BEAE",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURJNVkyME9BEAE!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMDI5Y20OA%7CCgwIxM_lvwYQyOjngQI%7C?hl=en","106030182485509087095","294","https://lh3.googleusercontent.com/a/ACg8ocKBCTeXSWDU45Z9LmYqp4MG-CmnKeesCD8mPJK4xNnVa4Q5_A=s1920-c-rp-mo-ba5-br100","https://www.google.com/maps/contrib/106030182485509087095?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","Visited for lunch with some friends on 11/4/25. Lunch offer is such a great deal and includes a drink of your choice including wine or beer. Service was warm, attentive and efficient. Our waiter was very charming. Dishes are simple and basic (in a good way) and of excellent quality and nicely prepared & served. Portion size is generous. The consensus was that everything ordered was absolutely delicious. Will definitely be back soon and delighted to recommend. Muito obrigado La Casita!",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
"122 Streatham High Rd, London SW16 1BW, United Kingdom","Portuguese restaurant","Mediterranean restaurant","Portuguese restaurant","8714226337111894628","London","GB","0x487604262fabe7a9:0x78ef26af03e86a64","https://lh3.googleusercontent.com/p/AF1QipONyXWfTXggKLZHJyMSyp14RIAGuAhdyhS2RS5j=w408-h272-k-no","false","false","en","0","51.434016","-0.1284869","Amy",,"en","false","ChIJqeerLyYEdkgRZGroA68m73g","SW16 1BW","$$","3 weeks ago","2025-04-06T15:16:27.513Z",,,,"Dinner",,,"£30–40",,"Dine in",,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTURJeUx6NXd3RRAB",,,,,,,,,,,,,,,,,,,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJeUx6NXd3RRAB!2m1!1s0x0:0x78ef26af03e86a64!3m1!1s2@1:CIHM0ogKEICAgMDIyLz5wwE%7CCgwIy7XKvwYQsMrx9AE%7C?hl=en","102709193897764393590","8","https://lh3.googleusercontent.com/a/ACg8ocIit2IVulPPIzkOpre53j4S7I16QHLTAqiP1xs7rYunpOlJ1HM=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102709193897764393590?hl=en","936","2025-04-30T17:09:12.121Z","Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"122 Streatham High Rd","false","We had the steak skewer and the monkfish and prawn stew. Both were incredible, couldn’t fault it. The service is great too. A lovely local restaurant we will continue going back to.",,"La Casita","4.6",,"https://www.google.com/maps/search/?api=1&query=La%20Casita&query_place_id=ChIJqeerLyYEdkgRZGroA68m73g",
